Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge
73,6.58268336889972,0.005473429130961761,107.29159930702947,105.49484782183995,0.5467514851895117,0.24210709735777503,5090.394122218986,True,1.496057350657239,1,1.2,True,0.004250783203830838,0.28947911721405034
74,8.275606025802198,0.005199757674413673,108.54159930702947,106.76571210221272,0.5258872048167563,0.2302998354874523,4842.1419471555,True,1.499013364214136,1,1.2,True,0.004279799125682085,0.27882520673753164
75,9.989400219361794,0.004939769790692989,109.79159930702947,108.03583316478267,0.5057661422468053,0.21906839854360216,4605.996709749046,True,1.5,1,1.2,True,0.004308619647451828,0.2650287840157117
76,11.72085196391385,0.004692781301158339,111.04159930702947,109.3052345529658,0.4863647540636753,0.20838470431467426,4381.367970872043,True,1.499013364214136,1,1.2,True,0.004337248664375458,0.24863986888537984
77,13.466725926891353,0.004458142236100421,112.29159930702947,110.57393922992058,0.4676600771088832,0.1982220401196621,4167.694086293485,True,1.4960573506572388,1,1.2,True,0.004365689943965955,0.23031183567457025
78,15.223779501503023,0.0042352351242954,113.54159930702947,111.84196958291002,0.4496297241194503,0.18855499601806344,3964.440802393242,True,1.4911436253643444,1,1.2,True,0.0043939471318012275,0.21077536522994425
79,16.98877676790967,0.00402347336808063,114.79159930702947,113.109347428362,0.4322518786674772,0.17935940127709285,3771.0999203612687,True,1.4842915805643155,1,1.2,True,0.004422023756978585,0.19080931497723186
80,18.75850227993521,0.0038222996996765983,116.04159930702947,114.37609401756521,0.4155052894642638,0.17061226393729276,3587.188025541857,True,1.4755282581475768,1,1.2,True,0.004449923237259467,0.1712096683334935
81,20.52977461737761,0.003631184714692768,117.29159930702947,115.64223004294129,0.39936926408818246,0.1622917133254415,3412.245278745855,True,1.4648882429441257,1,1.2,True,0.004477648883925642,0.15275780136015338
82,22.2994596470294,0.0034496254789581292,118.54159930702947,116.9077756448375,0.3838236621919787,0.1543769453710207,3245.83426650883,True,1.4524135262330098,1,1.2,True,0.004505203906366427,0.13618933176520498
