Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge,Knowledge_Suppression_Ratio,Critical_Transition
32,0.0,0.0680388162065694,42.49053896878043,40.49040242690113,2.1234886940430506,2.100224887096906,100.0,True,0.4266965189348249,0,1.18,True,0.0,0.3201402018592879,0.03412202295421085,False
33,0.0,0.06123493458591246,42.365686403562755,40.49633095565148,1.9942080131289455,1.9903799612169053,100.0,True,0.4309653813445536,0,1.18,True,0.0,0.3397709803211449,0.032395967034091255,False
34,0.0,0.05511144112732123,42.24172120729267,40.492824831152845,1.8728615724099098,1.8859054683127963,100.0,True,0.43498564456078703,0,1.18,True,0.0,0.3581577629561289,0.030765449702615487,False
35,0.0,0.0496002970145891,42.12035273579719,40.48256304729917,1.759158159993498,1.7867065775832263,100.0,True,0.438771785873509,0,1.18,True,0.0,0.37457277954652834,0.029222801488892256,False
36,0.007023299539242566,0.04464026731313019,42.00277798146904,40.46756628937561,1.6527864464215818,1.6926858683973613,100.0,True,0.44233743948096876,0,1.18,True,0.0,0.3883667863849153,0.0277607401444061,False
37,0.025986257966383437,0.04017624058181717,41.88980824537575,40.449354946029146,1.553423035439892,1.6037370783271914,100.0,True,0.445695445587521,0,1.18,True,0.0,0.39899495337660995,0.02637244638628412,False
38,0.0563851308701534,0.03615861652363546,41.7819650264549,40.429071595260154,1.4607366501155956,1.519739695654173,100.0,True,0.4488578966422313,0,1.18,True,0.0,0.40603858820760214,0.025051637905462516,False
39,0.09769537208886321,0.032542754871271916,41.67955214428928,40.4075750607853,1.374389965669601,1.4405545901156482,100.0,True,0.45183618088475347,0,1.18,True,0.0,0.40922183153505814,0.02379263805968492,False
40,0.14942953057500039,0.02928847938414473,41.58270971713116,40.38551196519118,1.294040179098101,1.3660208345203277,100.0,True,0.45464102335529377,0,1.18,True,0.0,0.40842265764284336,0.022590435027289992,False
41,0.22303694024057114,0.026359631445730253,41.49145444002742,40.36337063072406,1.2193390864070945,1.2959538230661738,100.0,True,0.4572825245163394,0,1.18,True,0.0,0.40367774202412654,0.021440726703432198,False
